,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time,EBS_Iops,EBS_Size,EBS_Throughput,EBS_VolumeType,pipeline_end_time,pipeline_type,pipeline_start_time
0,SRR13870534,adipose_tissue,91.54,314758873,2045699632,515200313,111,3755101,8,r8g.2xlarge,paired,i-0926837caeb8ecb25,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_STAR_normalized_counts.tsv,2025-01-24T10:32:10,2025-01-24T10:32:19,2025-01-24T10:32:19,2025-01-24T10:32:22,2025-01-24T10:32:22,2025-01-24T10:32:49,2025-01-24T10:32:49,2025-01-24T10:32:55,3000,550,500,gp3,2025-01-24T10:32:56,STAR,2025-01-24T10:32:10
1,SRR6742594,adipose_tissue,87.35,3416278879,20709104648,5846941658,111,46310790,8,r8g.2xlarge,paired,i-04d59139be7085dad,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_STAR_normalized_counts.tsv,2025-01-24T10:32:10,2025-01-24T10:33:57,2025-01-24T10:33:57,2025-01-24T10:35:03,2025-01-24T10:35:03,2025-01-24T10:39:26,2025-01-24T10:39:26,2025-01-24T10:39:32,3000,550,500,gp3,2025-01-24T10:39:33,STAR,2025-01-24T10:32:10
2,SRR16775393,breast_cells,92,2462241928,26699242512,3307946305,111,38322275,8,r8g.2xlarge,paired,i-0a97c8a0032919617,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_STAR_normalized_counts.tsv,2025-01-24T10:36:27,2025-01-24T10:37:53,2025-01-24T10:37:53,2025-01-24T10:39:22,2025-01-24T10:39:22,2025-01-24T10:44:04,2025-01-24T10:44:04,2025-01-24T10:44:10,3000,550,500,gp3,2025-01-24T10:44:11,STAR,2025-01-24T10:36:27
3,SRR20740669,breast_cells,89.36,976305944,6605376766,1276773525,111,23251123,8,r8g.2xlarge,single,i-0926837caeb8ecb25,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_STAR_normalized_counts.tsv,2025-01-24T10:38:43,2025-01-24T10:39:16,2025-01-24T10:39:16,2025-01-24T10:39:29,2025-01-24T10:39:29,2025-01-24T10:40:56,2025-01-24T10:40:56,2025-01-24T10:41:01,3000,550,500,gp3,2025-01-24T10:41:02,STAR,2025-01-24T10:38:42
4,SRR2973332,breast_cells,85.46,528883438,2263926608,699597482,111,4058599,8,r8g.2xlarge,paired,i-0036a48f1048268fe,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_STAR_normalized_counts.tsv,2025-01-24T10:30:30,2025-01-24T10:30:48,2025-01-24T10:30:48,2025-01-24T10:30:51,2025-01-24T10:30:51,2025-01-24T10:31:34,2025-01-24T10:31:34,2025-01-24T10:31:40,3000,550,500,gp3,2025-01-24T10:31:41,STAR,2025-01-24T10:30:30
5,SRR3290912,breast_cells,85.31,1850689124,12395401176,3759949359,111,34297500,8,r8g.2xlarge,paired,i-0a97c8a0032919617,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_STAR_normalized_counts.tsv,2025-01-24T10:32:10,2025-01-24T10:33:06,2025-01-24T10:33:06,2025-01-24T10:33:45,2025-01-24T10:33:45,2025-01-24T10:35:55,2025-01-24T10:35:55,2025-01-24T10:36:24,3000,550,500,gp3,2025-01-24T10:36:25,STAR,2025-01-24T10:32:10
6,SRR5735068,breast_cells,84.66,1586324337,16260955208,3875213117,111,44428924,8,r8g.2xlarge,paired,i-0926837caeb8ecb25,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_STAR_normalized_counts.tsv,2025-01-24T10:32:56,2025-01-24T10:33:43,2025-01-24T10:33:43,2025-01-24T10:34:33,2025-01-24T10:34:33,2025-01-24T10:38:35,2025-01-24T10:38:35,2025-01-24T10:38:41,3000,550,500,gp3,2025-01-24T10:38:41,STAR,2025-01-24T10:32:56
7,SRR12540641,breast_cells,75.94,3976002212,25726980588,6203818342,111,36713549,8,r8g.2xlarge,paired,i-064ee109540487468,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_STAR_normalized_counts.tsv,2025-01-24T10:38:10,2025-01-24T10:40:06,2025-01-24T10:40:06,2025-01-24T10:41:32,2025-01-24T10:41:32,2025-01-24T10:47:21,2025-01-24T10:47:21,2025-01-24T10:47:26,3000,550,500,gp3,2025-01-24T10:47:27,STAR,2025-01-24T10:38:10
8,SRR17222363,endometrium,92.98,2250330025,18646719732,2490815108,111,24268923,8,r8g.2xlarge,paired,i-064ee109540487468,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endometrium/normalized_counts/SRR17222363_STAR_normalized_counts.tsv,2025-01-24T10:30:30,2025-01-24T10:31:47,2025-01-24T10:31:47,2025-01-24T10:32:45,2025-01-24T10:32:45,2025-01-24T10:38:02,2025-01-24T10:38:02,2025-01-24T10:38:08,3000,550,500,gp3,2025-01-24T10:38:08,STAR,2025-01-24T10:30:30
9,SRR16212318,endometrium,90.55,4753222096,45656261284,5869733995,111,51127409,8,r8g.2xlarge,paired,i-00b34e36d4a439dad,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endometrium/normalized_counts/SRR16212318_STAR_normalized_counts.tsv,2025-01-24T10:32:10,2025-01-24T10:34:37,2025-01-24T10:34:37,2025-01-24T10:38:22,2025-01-24T10:38:22,2025-01-24T10:48:11,2025-01-24T10:48:11,2025-01-24T10:48:39,3000,550,500,gp3,2025-01-24T10:48:40,STAR,2025-01-24T10:32:10
10,SRR6286060,endometrium,88.95,12593097152,67094509420,11386770261,111,95101538,8,r8g.2xlarge,paired,i-013b1be4f40393f5e,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endometrium/normalized_counts/SRR6286060_STAR_normalized_counts.tsv,2025-01-24T10:30:30,2025-01-24T10:36:59,2025-01-24T10:36:59,2025-01-24T10:42:56,2025-01-24T10:42:56,2025-01-24T10:57:19,2025-01-24T10:57:19,2025-01-24T10:57:26,3000,550,500,gp3,2025-01-24T10:57:27,STAR,2025-01-24T10:30:30
