n_threads,execution_time_seconds,srr_id,srr_size_MiB,ebs_throughput,ebs_iops,instance_type,fastq_size_MiB
16,21.347163714,SRR6192356,202,1000,4000,m7a.4xlarge,1078
14,19.702761647,SRR6192356,202,1000,4000,m7a.4xlarge,1078
12,20.681978841,SRR6192356,202,1000,4000,m7a.4xlarge,1078
10,20.727170096,SRR6192356,202,1000,4000,m7a.4xlarge,1078
8,24.239929774,SRR6192356,202,1000,4000,m7a.4xlarge,1078
6,25.260918824,SRR6192356,202,1000,4000,m7a.4xlarge,1078
4,34.032929283,SRR6192356,202,1000,4000,m7a.4xlarge,1078
2,54.618793489,SRR6192356,202,1000,4000,m7a.4xlarge,1078
1,101.331822941,SRR6192356,202,1000,4000,m7a.4xlarge,1078
16,185.096359118,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
14,201.623885958,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
12,228.041692177,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
10,269.997140835,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
8,327.148849219,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
6,423.943375151,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
4,629.795564801,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
2,1268.092112521,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
1,2511.581009815,SRR20688788,2073,1000,4000,m7a.4xlarge,17019
16,726.385249396,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
14,772.904981527,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
12,858.203215568,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
10,977.582164020,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
8,1163.968999416,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
6,1469.665191470,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
4,2157.276403605,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
2,4266.208800695,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
1,8438.778572117,SRR11869226,10530,1000,4000,m7a.4xlarge,83903
