n_threads,execution_time_seconds,srr_id,srr_size_MiB,ebs_throughput,ebs_iops,instance_type
8,27.035093183,SRR6192356,202,125,5000,r7a.2xlarge
8,397.349819457,SRR20688788,2073,125,5000,r7a.2xlarge
8,2307.358537673,SRR11869226,10530,125,5000,r7a.2xlarge

8,26.128962228,SRR6192356,202,200,3000,r7a.2xlarge
8,362.049174035,SRR20688788,2073,200,3000,r7a.2xlarge
8,1640.773719111,SRR11869226,10530,200,3000,r7a.2xlarge

8,25.131355241,SRR6192356,202,275,5000,r7a.2xlarge
8,343.563569619,SRR20688788,2073,275,5000,r7a.2xlarge
8,1452.112439419,SRR11869226,10530,275,5000,r7a.2xlarge

8,25.000702750,SRR6192356,202,350,3000,r7a.2xlarge
8,335.997654135,SRR20688788,2073,350,3000,r7a.2xlarge
8,1298.621854205,SRR11869226,10530,350,3000,r7a.2xlarge

8,24.947384836,SRR6192356,202,425,5000,r7a.2xlarge
8,333.056852469,SRR20688788,2073,425,5000,r7a.2xlarge
8,1248.994981292,SRR11869226,10530,425,5000,r7a.2xlarge

8,25.178492637,SRR6192356,202,500,3000,r7a.2xlarge
8,332.968274858,SRR20688788,2073,500,3000,r7a.2xlarge
8,1225.953898909,SRR11869226,10530,500,3000,r7a.2xlarge

8,25.108302369,SRR6192356,202,575,5000,r7a.2xlarge
8,334.208583544,SRR20688788,2073,575,5000,r7a.2xlarge
8,1196.540878635,SRR11869226,10530,575,5000,r7a.2xlarge

8,24.865776061,SRR6192356,202,650,5000,r7a.2xlarge
8,328.096981902,SRR20688788,2073,650,5000,r7a.2xlarge
8,1166.086071495,SRR11869226,10530,650,5000,r7a.2xlarge

8,25.153595016,SRR6192356,202,725,5000,r7a.2xlarge
8,332.198301346,SRR20688788,2073,725,5000,r7a.2xlarge
8,1171.319674430,SRR11869226,10530,725,5000,r7a.2xlarge
