srr_id,size [B]
DRR023401,470077055
DRR023400,486838755
DRR023390,475420373
DRR023402,471660499
DRR023392,482514394
DRR023389,477629486
DRR023395,110823350
DRR023415,499035285
DRR023409,497027811
DRR023386,154410952
DRR023391,479431484
DRR023382,481654913
DRR023387,478257129
DRR023383,491936241
DRR023407,477314787
DRR023381,480135480
DRR023373,478919787
DRR023414,497121639
DRR023408,486061435
DRR023372,477426268
DRR023411,491145217
DRR023403,328530047
DRR023396,478214225
DRR023380,479233561
DRR023397,475247107
DRR023399,476815056
DRR023393,474028276
DRR023385,471273107
DRR023379,483439428
DRR023398,475825829
DRR023405,483410899
DRR023418,491313540
DRR023375,491075593
DRR023419,481451330
DRR023412,499939852
DRR023410,481382126
DRR023371,481352488
DRR023413,483139149
DRR023394,468358804
DRR023404,475132027
DRR023384,475863467
DRR023374,480178038
DRR023377,470987208
DRR023376,473000452
DRR023388,476353527
DRR023406,496123695
DRR023416,476815785
DRR023417,489587828
DRR023422,476027818
DRR023425,494352899
DRR023420,497437274
DRR023429,492192957
DRR023430,482935170
DRR023424,492728081
DRR023428,495738742
DRR023427,483506008
DRR023426,478587437
DRR023423,478719262
DRR023432,501062936
DRR023433,491369218
DRR023431,490247344
DRR023435,498207907
DRR023436,509627185
DRR023434,485067574
DRR023441,479889347
DRR023438,479519686
DRR023439,493838889
DRR023447,493168341
DRR023443,500958924
DRR023437,476257496
DRR023440,495726303
DRR023442,488003258
DRR023446,487504308
DRR023451,491670625
DRR023449,494537672
DRR023461,468823417
DRR023448,496801282
DRR023456,471188198
DRR023455,471512077
DRR023459,466730258
DRR023454,478203915
DRR023450,488078397
DRR023458,471606822
DRR023453,470147106
DRR023462,476839414
DRR023472,475158628
DRR023465,473056245
DRR023466,465015475
DRR023470,468023837
DRR023445,483820118
DRR023457,479205843
DRR023473,466335646
DRR023463,466554214
DRR023468,471454698
DRR023469,480135061
DRR023471,473861780
DRR023464,470515994
DRR023475,469102913
DRR023479,476789016
DRR023476,477135444
DRR023482,462708779
DRR023477,469000487
DRR023480,468493113
DRR023485,467453258
DRR023490,461462378
DRR023484,469209369
DRR023486,464226340
DRR023487,468052242
DRR023483,470599685
DRR023478,469930787
DRR023488,460142775
DRR023491,462098016
DRR023495,464848095
DRR023494,456214892
DRR023496,465309913
DRR023500,463943358
DRR023498,467891126
DRR023492,470193388
DRR023493,461519405
DRR023501,475192519
DRR023502,466755522
DRR023497,459278497
DRR023508,136366976
DRR023503,456026957
DRR023499,463681076
DRR023506,462948307
DRR023507,471998546
DRR023512,463986401
DRR023509,464390468
DRR023511,465348889
DRR023504,465478900
DRR023505,476821671
DRR023510,467107790
DRR023513,466658699
DRR023514,475085306
DRR023515,461494261
DRR023521,555314508
DRR023522,560512863
DRR023516,472555132
DRR023523,564815934
DRR023520,554291285
DRR023524,562998646
DRR023517,333430491
DRR023525,551005550
DRR023519,552823876
DRR023518,550864909
DRR023529,559212763
DRR023527,553929973
DRR023531,558777876
DRR023526,552997704
DRR023534,551660725
DRR023532,546343597
DRR023536,557970313
DRR023537,562238389
DRR023535,553725112
DRR023533,550696787
DRR023528,551665832
DRR023538,549477709
DRR023540,550662200
DRR023543,558871287
DRR023541,549926784
DRR023544,565396749
DRR023550,558117695
DRR023546,546033899
DRR023542,554530052
DRR023547,551050971
DRR023545,553338321
DRR023548,547804856
DRR023549,552465059
DRR023552,541658804
DRR023551,557594042
DRR023553,545166584
DRR023557,557966390
DRR023556,555263609
DRR023554,546760870
DRR023555,549431992
DRR023558,457868207
DRR023562,564242262
DRR023564,560691231
DRR023561,553921194
DRR023560,566546920
DRR023530,562897870
DRR023568,555812595
DRR023571,468775819
DRR023567,550639528
DRR023539,546320585
DRR023573,470161211
DRR023559,555840849
DRR023570,356796311
DRR023563,552979876
DRR023566,563649413
DRR023565,552881658
DRR023569,551612514
DRR023572,465500602
DRR023574,469764579
DRR023579,502712621
DRR023576,494050247
DRR023581,505147454
DRR023580,499164267
DRR023577,508718901
DRR023578,493408049
DRR023588,508941924
DRR023582,512531114
DRR023591,510833745
DRR023587,499661224
DRR023594,509836350
DRR023593,507294850
DRR023585,493656867
DRR023589,502658803
DRR023590,501832428
DRR023596,302585508
DRR023583,497463912
DRR023600,502080770
DRR023595,499417037
DRR023592,509741794
DRR023597,489803352
DRR023604,491196865
DRR023609,517123367
DRR023598,499253070
DRR023611,489330548
DRR023605,500961157
DRR023603,505831483
DRR023606,510026996
DRR023610,503721960
DRR023584,507382486
DRR023599,508676092
DRR023607,499466774
DRR023601,491284094
DRR023602,501909954
DRR023613,507079518
DRR023621,507808097
DRR023626,508051094
DRR023620,509168895
DRR023624,497828103
DRR023608,504223060
DRR023622,499996798
DRR023612,503094099
DRR023614,491343749
DRR023619,498070676
DRR023616,517124518
DRR023623,510941409
DRR023625,509939134
DRR023615,502382065
DRR023629,495738166
DRR023641,475264022
DRR023636,473151310
DRR023645,474538824
DRR023650,465517051
DRR023644,471821951
DRR023656,477547923
DRR023651,476118459
DRR023646,479845541
DRR023659,492688372
DRR023653,469260876
DRR023658,474458629
DRR023627,511790424
DRR023674,473199643
DRR023667,481617308
DRR023676,474916495
DRR023672,475778611
DRR023632,509425950
DRR023668,469968464
DRR023647,471178657
DRR023631,499032696
DRR023628,516957582
DRR023648,475681318
DRR023630,512677004
DRR023639,485267921
DRR023655,469174260
DRR023635,471472338
DRR023684,503440210
DRR023637,475845248
DRR023683,491285150
DRR023643,471665194
DRR023663,471258892
DRR023662,477428761
DRR023666,467754914
DRR023654,481223762
DRR023652,476058566
DRR023660,465541080
DRR023661,473675849
DRR023664,486799808
DRR023657,479782068
DRR023673,488025051
DRR023669,479453525
DRR023670,472881652
DRR023638,479633616
DRR023685,520003075
DRR023640,469597939
DRR023671,481993827
DRR023677,481026872
DRR023675,476975284
DRR023686,494324756
DRR023690,506320746
DRR023692,492077222
DRR023696,496688139
DRR023697,511513792
DRR023691,519665134
DRR023693,502652820
DRR023694,517818677
DRR023698,488397701
DRR023695,486201396
DRR023699,499864893
DRR122022,8533550256
DRR122025,3317147182
DRR122023,10981556893
DRR122021,3528478913
DRR122026,3001098014
DRR122033,7341337544
DRR122028,3188262245
DRR122032,10047543217
DRR122030,2266906391
DRR122031,5415078858
DRR122029,3408892580
DRR122035,3577900560
DRR122027,2981683630
DRR122043,9044450241
DRR122083,4101725618
DRR122084,7037256314
DRR122081,5422234552
DRR122085,6071470352
DRR122038,5880594604
DRR122082,19053981075
DRR122036,2862521507
DRR122024,3841355035
DRR122037,7166681967
DRR228775,8292415914
DRR228776,6287181461
ERR3289032,7263901561
DRR228777,8282698769
DRR228774,5708789973
ERR3289030,7430607481
ERR3289031,8010442354
DRR228779,7129936892
DRR228778,5559916705
ERR3289033,9254609180
DRR023688,519101223
DRR228780,5399855868
DRR023687,503782378
DRR023689,496929725
ERR3445699,5191900862
ERR3445697,5571575577
ERR3445695,5751853088
ERR3445705,5181026085
ERR3445700,4984454516
ERR3445706,4762852232
SRR10056093,427077020
ERR3445698,6089316356
ERR3445702,5021527841
ERR3445704,8613053243
ERR3445707,7051439044
SRR10216448,431422132
SRR10216449,469180212
SRR10056103,373920517
SRR10216444,440580147
SRR10387431,7056275771
SRR10386580,578348006
SRR10219153,2040196175
SRR10387434,8028893602
SRR10386576,526457214
SRR10216446,509142436
ERR3445696,5690169820
SRR10216445,485975384
ERR3445703,5102629941
SRR10056104,411496562
SRR10216447,490535823
SRR10386577,611775527
SRR10056094,441537782
SRR10387432,3903770589
SRR10387433,5950407434
ERR3445701,4356982863
SRR10386581,545315477
SRR10386579,537102018
SRR10387436,3437614740
SRR10387435,4588596524
SRR10439783,641647700
SRR10387439,3424667480
SRR10387440,7501428717
SRR10439786,722276586
SRR10216443,424819117
SRR10387438,4833938781
SRR10387442,4061797811
SRR10386578,491658389
SRR10439785,2599555335
SRR10387441,4111498346
SRR10387437,6747365821
SRR10439784,1405447424
SRR10360229,1465240057
SRR10360230,1389569638
SRR10487005,1183558226
SRR10487009,1095778394
SRR10487007,1322444116
SRR10487006,1153741661
SRR10487008,1289294077
SRR10487011,1233676950
SRR10487015,1272551568
SRR10487010,1071931485
SRR10487014,1234270134
SRR10487013,1266711785
SRR10487012,1203141264
SRR10439788,3841677935
SRR10439787,2259682894
SRR10760462,4911790489
SRR10487016,1241046405
SRR10760466,6246181540
SRR10760465,5423873203
SRR10760472,4987106722
SRR10760464,5710792394
SRR10760471,4280381713
SRR10760467,6852711696
SRR10760470,7171802802
SRR10760474,7126435022
SRR10760469,8679894625
SRR10760476,7216204428
SRR10760477,7279695804
SRR10760468,5598309489
SRR10760478,6317130197
SRR10760482,5830095203
SRR10760481,6269737089
SRR10760475,5623998591
SRR10760479,4860536542
SRR10760480,5872841436
SRR10760483,5167676688
SRR10760486,5186659613
SRR10760484,6756839319
SRR10769312,5667122939
SRR10769315,6944866911
SRR10769314,6429124990
SRR10760485,6362118645
SRR10769313,8238385095
SRR10970614,2318249872
SRR10970616,2119736441
SRR10769317,7634736652
SRR10760473,5803643398
SRR10760487,4995218885
SRR10970617,2774149797
SRR10970615,2045322731
SRR10769316,5970659305
SRR10970619,2854966045
SRR11114642,1675007050
SRR11114651,1343352772
SRR10970618,2219849311
SRR11114650,1556819654
SRR11548508,210094435
SRR11548507,165793613
SRR11548510,216390477
SRR11114652,2018099448
SRR11114643,1794951316
SRR11548506,430467413
SRR11548514,170218090
SRR11548511,373321187
SRR11548509,252352357
SRR11548512,212914119
SRR11780520,2971316949
SRR11780513,3011936762
SRR11780518,2821448685
SRR11780517,2854432048
SRR11840701,2631747253
SRR11548513,193468677
SRR1207866,1268173922
SRR11780519,2972389828
SRR11840700,2300051619
SRR11780515,3197741132
SRR1207864,2140323140
SRR11780514,2574776772
SRR11840702,2424334682
SRR11780516,2819478733
SRR11780521,2585958196
SRR11780523,3100591753
SRR11780522,2875685226
SRR11840703,3526383312
SRR12235076,1138455191
SRR11780524,3097534286
SRR12235079,1188549932
SRR12235081,1157255075
SRR12235077,1337743186
SRR11548515,189590624
SRR1207865,1929346977
SRR1207867,1801868008
SRR12235073,1350036888
SRR12235075,1314040331
SRR12235080,1469092546
SRR12235078,1315865469
SRR12235082,1141475878
SRR12235074,1214826152
SRR12235083,1292952444
SRR12489231,1313913397
SRR12489226,1383281780
SRR12235084,1164726775
SRR12489229,1421992480
SRR12489232,1339367170
SRR12489233,1332938946
SRR12489228,1439680291
SRR1286921,2545669642
SRR12489237,1359589315
SRR1286930,3030817872
SRR12489230,1310757228
SRR1286920,2968977565
SRR1286922,2628233204
SRR12489236,1368914272
SRR1286926,3824431453
SRR12489234,1342758385
SRR12489235,1341217616
SRR1286929,4487863506
SRR1286931,2090919333
SRR1286933,2237419156
SRR1286925,3235233648
SRR1286934,4374260088
SRR1286924,3230064906
SRR13123467,9464527447
SRR1286935,4423146042
SRR1286923,2753635346
SRR13123468,9509046922
SRR1286927,3627995547
SRR12967895,475124351
SRR12967897,552790309
SRR12967896,669996879
SRR12967894,733885954
SRR12967898,631578208
SRR1286928,2936059718
SRR12967901,680423067
SRR13232952,18846050143
SRR13232951,20119199615
SRR12489227,1415398480
SRR13232953,18172223112
SRR13232947,14483626455
SRR1286932,1989011915
SRR12967899,683364646
SRR12967900,534955700
SRR13232948,8118915690
SRR13123469,2182574757
SRR13123470,8339854772
SRR13232949,14857961304
SRR13232950,19178195330
SRR13232946,18881355411
SRR13232956,18472726804
SRR13232957,14942602724
SRR13232954,14051504752
SRR13574907,1392318225
SRR13574909,1212823552
SRR14233734,404785467
SRR13232962,19091976740
SRR13232958,14303319128
SRR13232959,14435834726
SRR14233737,394169952
SRR13838054,2124073924
SRR13232960,26719422201
SRR13838055,2102030127
SRR13574908,1675911650
SRR14233740,311357275
SRR14233745,554180913
SRR14233743,468156842
SRR14233741,289864978
SRR14374311,2454467821
SRR14233744,628596839
SRR14233748,594531447
SRR14233747,494871459
SRR13232961,13580034879
SRR14374315,2729073315
SRR14233739,364353789
SRR14233746,569391685
SRR14374312,2265574036
SRR14374313,2565265355
SRR14567622,2230112117
SRR14233736,366246031
SRR14567625,2687702913
SRR14374314,2427897680
SRR14233735,371577264
SRR14374316,2300471890
SRR14567632,1723499219
SRR13232955,14430942820
SRR14567624,2379788837
SRR14567633,2428369579
SRR14233742,289559527
SRR14567621,2481047881
SRR14567623,2749206732
SRR14567626,1940391919
SRR14233738,368963495
SRR14567627,2850666606
SRR14567630,2106295373
SRR14567628,1809368164
SRR14567629,3556163426
SRR14567631,2099905106
SRR14567634,2413184773
SRR14567635,3279953127
SRR14567636,2403948992
SRR14567637,2514738541
SRR14567641,2838971986
SRR14567638,2087647449
SRR14567640,2368107079
SRR14567644,1988472641
SRR14567643,1830878109
SRR14961815,6550126961
SRR14961813,7093627117
SRR14567639,2421329130
SRR14961821,4602421110
SRR14961823,5474695323
SRR14961819,6994509661
SRR14961817,6199085238
SRR14961825,5040048400
SRR14961829,5986390761
SRR14961827,4987702635
SRR14961831,6493266095
SRR14961833,6112997280
SRR14961837,4691309430
SRR14961835,6650978640
SRR14961839,5908818496
SRR14961853,4119383948
SRR14961851,4966113279
SRR14961849,5204639414
SRR14961841,4427611751
SRR14961857,4507463115
SRR14961855,4680775766
SRR14961847,4826433204
SRR14961845,6057123833
SRR14961843,6326009839
SRR14961863,5560522057
SRR14961871,3708812952
SRR14961875,7358003433
SRR14961877,6048815712
SRR15414913,5582104872
SRR14567642,2784475914
SRR15414917,2610679866
SRR14961859,5061668341
SRR14961861,6346201279
SRR14961873,6199606006
SRR15414914,5977736060
SRR15414916,2756709607
SRR14961865,4185563365
SRR15414915,7499921304
SRR14961869,4011809677
SRR14961867,3900223764
SRR1640084,2685366585
SRR1640083,2645788247
SRR1640087,3116252259
SRR15414918,2515830963
SRR15414919,2901406765
SRR1640085,2887747940
SRR16541564,745214734
SRR16541565,879543934
SRR16541560,563473459
SRR16541559,747900700
SRR16541563,721467518
SRR16541567,875355070
SRR16541561,542057188
SRR16541570,401934098
SRR16541569,414892747
SRR16541573,400138483
SRR16541571,412684750
SRR16541562,560555991
SRR16541575,381360364
SRR16541574,390940070
SRR16541566,850500355
SRR16541568,400683435
SRR16541579,423596872
SRR16541578,408596610
SRR16541580,593364962
SRR16541581,821136955
SRR16541577,425151367
SRR16541583,816763683
SRR16541585,590960388
SRR16541588,68677341
SRR1640082,2990468127
SRR16541584,573266944
SRR16541586,68938879
SRR16541576,390362389
SRR16541587,67736326
SRR1640086,3423415695
SRR16541582,795815422
SRR16541572,391832508
SRR16541589,744054052
SRR16541592,310959156
SRR16541590,736196716
SRR16541593,401565833
SRR16541591,747444027
SRR16541595,399597605
SRR16541594,389030576
SRR16541596,302610402
SRR16541597,310112704
SRR16541599,311848018
SRR16541598,319583847
SRR16541613,631574450
SRR16541603,390633999
SRR16541600,319203630
SRR16541608,545208176
SRR16541617,860692183
SRR16541620,652716539
SRR16541619,856842101
SRR16541607,682420625
SRR16541609,558895823
SRR16541618,829507297
SRR16541616,678161056
SRR16541622,462164864
SRR16541604,560681908
SRR16541610,486137899
SRR16541626,737446862
SRR16541611,473703165
SRR16541614,610238959
SRR16541606,662180319
SRR16541623,447594653
SRR16541625,769414768
SRR16541624,460679504
SRR16541605,683646513
SRR16541630,500099726
SRR16541621,675019807
SRR16541615,633094302
SRR16541602,380261952
SRR16541632,520439345
SRR16541637,21324694
SRR16541629,1613509273
SRR16541631,507462272
SRR16541612,485584965
SRR16541646,744350022
SRR16541601,390206380
SRR16541634,1481958015
SRR16541628,1672591654
SRR16541644,244090777
SRR16541643,218255457
SRR16541633,533249862
SRR16541635,461367824
SRR16541627,763964843
SRR16541638,6607834
SRR16541639,6693598
SRR16541636,475988180
SRR16541640,782253496
SRR16541641,680735574
SRR16541642,212317519
SRR16541645,253273472
SRR16541647,231980434
SRR16541648,240865025
SRR16541652,656580389
SRR16541657,441531650
SRR16541660,406489617
SRR16541664,1118074430
SRR16541659,394580849
SRR16541651,250059380
SRR16541653,628925690
SRR16541650,246310880
SRR16541655,1266427965
SRR16541654,652200659
SRR16541666,349899925
SRR16541661,1178231765
SRR16541656,1422392613
SRR16541658,457336715
SRR16541669,724016700
SRR16541662,362336973
SRR16541649,789116690
SRR16541665,345579547
SRR16541667,743916781
SRR16541670,748574414
SRR16541668,752858474
SRR16541672,740171640
SRR16541671,715182820
SRR16541676,9573235
SRR16541678,9536050
SRR16541680,336381214
SRR16541673,630864543
SRR16541675,626470651
SRR16541679,334411136
SRR16541674,604964050
SRR16541677,9195254
SRR16541681,323089644
SRR16541684,332746000
SRR16541683,324012439
SRR16541685,331823637
SRR16541690,257990068
SRR16541663,375491914
SRR16541692,602237687
SRR16541686,319090954
SRR16541693,579791797
SRR16541691,422986346
SRR16541688,259039401
SRR16541694,601129622
SRR16541689,250813294
SRR16541695,410010446
SRR16541696,421798299
SRR16541682,333495151
SRR16541687,331233056
SRR16541699,481735009
SRR16578993,935254495
SRR16541698,465095347
SRR16578997,812090868
SRR17287247,6053058581
SRR16541697,483634115
SRR16578999,1024023111
SRR16578996,874277651
SRR16541701,839680691
SRR16578998,1044499974
SRR16541700,869197487
SRR17465705,768645416
SRR17287248,7300466459
SRR17465704,723313959
SRR16578995,1057667760
SRR17287251,6744123485
SRR17465710,995342589
SRR17287246,7316803390
SRR17287250,6386317115
SRR17465713,772302984
SRR17465709,1506107806
SRR17465712,1145617674
SRR16578994,988283164
SRR17287249,7117777541
SRR17465702,842250179
SRR16541702,864638926
SRR17465706,1128756710
SRR17465703,889076491
SRR17465708,1784970103
SRR17465711,1145161003
SRR17848271,1861717676
SRR17848276,2849500602
SRR18016624,920154218
SRR17809186,948385912
SRR17465707,1168344387
SRR17809184,811101215
SRR17809182,939907464
SRR17848273,2428859051
SRR17848270,2361252617
SRR17809183,840538411
SRR17848278,16266621502
SRR17809187,355291632
SRR18016623,996391994
SRR17809185,738959049
SRR17848272,3127278071
SRR17848279,69982397067
SRR17848274,2369493733
SRR17848275,1884787446
SRR17848277,2489791146
SRR18016628,1002024420
SRR18016626,1449618286
SRR18016629,944362753
SRR18016633,1374626401
SRR18016625,1219974786
SRR18016630,1118173673
SRR18016635,1179538565
SRR18059494,2837147149
SRR18016636,1188330111
SRR18016632,818684833
SRR18059495,2933336633
SRR18016627,861816649
SRR18016637,927969078
SRR1806588,288431280
SRR18059499,2603531395
SRR18059498,2861728100
SRR18059497,3035062184
SRR18016631,1169421716
SRR1806589,325508567
SRR18059496,3267226415
SRR18059501,3294642888
SRR1806587,313029877
SRR18059500,3388806848
SRR18156451,1180915314
SRR18156450,1414146894
SRR18156452,854107924
SRR18156454,924461186
SRR18156453,961363901
SRR18156525,1113988548
SRR18156524,1000376139
SRR18156534,936099264
SRR18156455,1210020091
SRR18156532,951177899
SRR18156536,870515078
SRR18156526,926232207
SRR18156529,1174636425
SRR18156541,1260499112
SRR18156530,953214898
SRR18059502,3270473723
SRR18156539,1090213959
SRR18156527,1208446870
SRR18156528,1019449889
SRR18156531,1239378374
SRR18156535,1236081438
SRR18156533,1219100234
SRR18156540,891946741
SRR18156538,1108251721
SRR18156537,1239739355
SRR18156542,1072492839
SRR18156544,1024054462
