,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_Iops,EBS_VolumeType,EBS_Throughput
0,SRR13870534,adipose_tissue,90.3857,314758873,2045699632,111,3755101,8,c6a.2xlarge,paired,i-09416a3b103992a92,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_salmon_normalized_counts.tsv,2024-05-14T10:15:19,2024-05-14T10:15:23,2024-05-14T10:15:23,2024-05-14T10:15:29,2024-05-14T10:15:29,2024-05-14T10:17:19,2024-05-14T10:17:19,2024-05-14T10:17:47,550,3000,gp3,500
1,SRR6742594,adipose_tissue,85.9177,3416278879,20709104648,111,46310790,8,c6a.2xlarge,paired,i-034c04be45ce8af62,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_salmon_normalized_counts.tsv,2024-05-14T10:15:19,2024-05-14T10:16:20,2024-05-14T10:16:20,2024-05-14T10:18:20,2024-05-14T10:18:20,2024-05-14T10:22:34,2024-05-14T10:22:34,2024-05-14T10:22:52,550,3000,gp3,500
2,SRR20740669,breast_cells,92.1004,976305944,6605376766,111,23251123,8,c6a.2xlarge,single,i-0696009b3c626edb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_salmon_normalized_counts.tsv,2024-05-14T10:14:58,2024-05-14T10:15:20,2024-05-14T10:15:20,2024-05-14T10:15:47,2024-05-14T10:15:47,2024-05-14T10:19:02,2024-05-14T10:19:02,2024-05-14T10:19:21,550,3000,gp3,500
3,SRR16775393,breast_cells,91.6474,2462241928,26699242512,111,38322275,8,c6a.2xlarge,paired,i-0d569717803bf9b7e,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_salmon_normalized_counts.tsv,2024-05-14T10:14:57,2024-05-14T10:15:59,2024-05-14T10:15:59,2024-05-14T10:18:32,2024-05-14T10:18:32,2024-05-14T10:23:43,2024-05-14T10:23:43,2024-05-14T10:24:02,550,3000,gp3,500
4,SRR3290912,breast_cells,90.6813,1850689124,12395401176,111,34297500,8,c6a.2xlarge,paired,i-0bada99f3c9c79690,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:43,2024-05-14T10:15:43,2024-05-14T10:16:32,2024-05-14T10:16:32,2024-05-14T10:20:09,2024-05-14T10:20:09,2024-05-14T10:20:29,550,3000,gp3,500
5,SRR5735068,breast_cells,88.1199,1586324337,16260955208,111,44428924,8,c6a.2xlarge,paired,i-07dfdafd876fc5adb,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:31,2024-05-14T10:15:31,2024-05-14T10:16:57,2024-05-14T10:16:57,2024-05-14T10:21:49,2024-05-14T10:21:49,2024-05-14T10:22:09,550,3000,gp3,500
6,SRR12540641,breast_cells,80.7163,3976002212,25726980588,111,36713549,8,c6a.2xlarge,paired,i-04ca906049f8cb3ef,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:16:26,2024-05-14T10:16:26,2024-05-14T10:18:53,2024-05-14T10:18:53,2024-05-14T10:24:07,2024-05-14T10:24:07,2024-05-14T10:24:25,550,3000,gp3,500
7,SRR2973332,breast_cells,54.2904,528883438,2263926608,111,4058599,8,c6a.2xlarge,paired,i-06ce30a687528bdaf,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:09,2024-05-14T10:15:09,2024-05-14T10:15:14,2024-05-14T10:15:14,2024-05-14T10:17:49,2024-05-14T10:17:49,2024-05-14T10:18:08,550,3000,gp3,500
8,SRR17222363,endometrium,91.2151,2250330025,18646719732,111,24268923,8,c6a.2xlarge,paired,i-09101895bf2603a32,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR17222363_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:52,2024-05-14T10:15:52,2024-05-14T10:17:34,2024-05-14T10:17:34,2024-05-14T10:22:07,2024-05-14T10:22:07,2024-05-14T10:22:27,550,3000,gp3,500
9,SRR6286060,endometrium,80.7485,12593097152,67094509420,111,95101538,8,c6a.2xlarge,paired,i-07dfdafd876fc5adb,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR6286060_salmon_normalized_counts.tsv,2024-05-14T10:22:11,2024-05-14T10:26:54,2024-05-14T10:26:54,2024-05-14T10:33:06,2024-05-14T10:33:06,2024-05-14T10:46:00,2024-05-14T10:46:00,2024-05-14T10:46:11,550,3000,gp3,500
