,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_Throughput,EBS_VolumeType,EBS_Iops
0,SRR13870534,adipose_tissue,90.3855,314758873,2045699632,111,3755101,8,c6i.2xlarge,paired,i-0dcb9d6e67c6fad0a,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:05,2024-05-14T10:15:05,2024-05-14T10:15:10,2024-05-14T10:15:10,2024-05-14T10:17:19,2024-05-14T10:17:19,2024-05-14T10:17:48,550,500,gp3,3000
1,SRR6742594,adipose_tissue,85.9177,3416278879,20709104648,111,46310790,8,c6i.2xlarge,paired,i-06a0d2a4c4e6b34f9,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:16:20,2024-05-14T10:16:20,2024-05-14T10:18:15,2024-05-14T10:18:15,2024-05-14T10:22:38,2024-05-14T10:22:38,2024-05-14T10:22:58,550,500,gp3,3000
2,SRR20740669,breast_cells,92.1004,976305944,6605376766,111,23251123,8,c6i.2xlarge,single,i-02606b5b3a5d8f843,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:20,2024-05-14T10:15:20,2024-05-14T10:15:47,2024-05-14T10:15:47,2024-05-14T10:19:05,2024-05-14T10:19:05,2024-05-14T10:19:23,550,500,gp3,3000
3,SRR16775393,breast_cells,91.6474,2462241928,26699242512,111,38322275,8,c6i.2xlarge,paired,i-099d1e45b9e5c6aa7,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:59,2024-05-14T10:15:59,2024-05-14T10:18:30,2024-05-14T10:18:30,2024-05-14T10:23:48,2024-05-14T10:23:48,2024-05-14T10:24:07,550,500,gp3,3000
4,SRR3290912,breast_cells,90.6813,1850689124,12395401176,111,34297500,8,c6i.2xlarge,paired,i-025f8ee226ce9d5ec,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_salmon_normalized_counts.tsv,2024-05-14T10:18:12,2024-05-14T10:18:53,2024-05-14T10:18:53,2024-05-14T10:19:40,2024-05-14T10:19:40,2024-05-14T10:22:40,2024-05-14T10:22:40,2024-05-14T10:22:50,550,500,gp3,3000
5,SRR5735068,breast_cells,88.1199,1586324337,16260955208,111,44428924,8,c6i.2xlarge,paired,i-06f16c23d5ac6a399,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:31,2024-05-14T10:15:31,2024-05-14T10:16:56,2024-05-14T10:16:56,2024-05-14T10:21:55,2024-05-14T10:21:55,2024-05-14T10:22:15,550,500,gp3,3000
6,SRR12540641,breast_cells,80.7163,3976002212,25726980588,111,36713549,8,c6i.2xlarge,paired,i-0726a83214dd4a47c,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:16:26,2024-05-14T10:16:26,2024-05-14T10:19:02,2024-05-14T10:19:02,2024-05-14T10:24:26,2024-05-14T10:24:26,2024-05-14T10:24:44,550,500,gp3,3000
7,SRR2973332,breast_cells,54.2904,528883438,2263926608,111,4058599,8,c6i.2xlarge,paired,i-025f8ee226ce9d5ec,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:09,2024-05-14T10:15:09,2024-05-14T10:15:14,2024-05-14T10:15:14,2024-05-14T10:17:51,2024-05-14T10:17:51,2024-05-14T10:18:10,550,500,gp3,3000
8,SRR17222363,endometrium,91.2151,2250330025,18646719732,111,24268923,8,c6i.2xlarge,paired,i-0a68793496d007648,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR17222363_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:53,2024-05-14T10:15:53,2024-05-14T10:17:33,2024-05-14T10:17:33,2024-05-14T10:22:10,2024-05-14T10:22:10,2024-05-14T10:22:28,550,500,gp3,3000
9,SRR6286060,endometrium,80.7485,12593097152,67094509420,111,95101538,8,c6i.2xlarge,paired,i-003bff9b6995290f6,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR6286060_salmon_normalized_counts.tsv,2024-05-14T10:18:32,2024-05-14T10:23:34,2024-05-14T10:23:34,2024-05-14T10:29:47,2024-05-14T10:29:47,2024-05-14T10:43:22,2024-05-14T10:43:22,2024-05-14T10:43:33,550,500,gp3,3000
