,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_VolumeType,EBS_Throughput,EBS_Iops,EBS_Size
0,SRR13870534,adipose_tissue,90.3851,314758873,2045699632,111,3755101,8,c7a.2xlarge,paired,i-0f08c2ab925a1f818,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:30,2024-05-14T11:18:30,2024-05-14T11:18:33,2024-05-14T11:18:33,2024-05-14T11:20:38,2024-05-14T11:20:38,2024-05-14T11:21:04,gp3,500,3000,550
1,SRR6742594,adipose_tissue,85.9177,3416278879,20709104648,111,46310790,8,c7a.2xlarge,paired,i-0c203027d5c567c50,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:31,2024-05-14T11:19:31,2024-05-14T11:21:33,2024-05-14T11:21:33,2024-05-14T11:24:59,2024-05-14T11:24:59,2024-05-14T11:25:20,gp3,500,3000,550
2,SRR20740669,breast_cells,92.1004,976305944,6605376766,111,23251123,8,c7a.2xlarge,single,i-04f4ab28c7849ca75,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:46,2024-05-14T11:18:46,2024-05-14T11:19:10,2024-05-14T11:19:10,2024-05-14T11:21:55,2024-05-14T11:21:55,2024-05-14T11:22:13,gp3,500,3000,550
3,SRR16775393,breast_cells,91.6474,2462241928,26699242512,111,38322275,8,c7a.2xlarge,paired,i-0f8f1ee395dc1d10d,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:15,2024-05-14T11:19:15,2024-05-14T11:21:52,2024-05-14T11:21:52,2024-05-14T11:25:56,2024-05-14T11:25:56,2024-05-14T11:26:14,gp3,500,3000,550
4,SRR3290912,breast_cells,90.6813,1850689124,12395401176,111,34297500,8,c7a.2xlarge,paired,i-09143eb67f861df7d,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:59,2024-05-14T11:18:59,2024-05-14T11:19:43,2024-05-14T11:19:43,2024-05-14T11:22:46,2024-05-14T11:22:46,2024-05-14T11:23:04,gp3,500,3000,550
5,SRR5735068,breast_cells,88.1199,1586324337,16260955208,111,44428924,8,c7a.2xlarge,paired,i-09819c75a9eb9773d,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:55,2024-05-14T11:18:55,2024-05-14T11:20:21,2024-05-14T11:20:21,2024-05-14T11:24:25,2024-05-14T11:24:25,2024-05-14T11:24:44,gp3,500,3000,550
6,SRR12540641,breast_cells,80.7163,3976002212,25726980588,111,36713549,8,c7a.2xlarge,paired,i-0b968512b12e75429,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:38,2024-05-14T11:19:38,2024-05-14T11:22:04,2024-05-14T11:22:04,2024-05-14T11:26:19,2024-05-14T11:26:19,2024-05-14T11:26:38,gp3,500,3000,550
7,SRR2973332,breast_cells,54.2904,528883438,2263926608,111,4058599,8,c7a.2xlarge,paired,i-0245e260f39732a05,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:34,2024-05-14T11:18:34,2024-05-14T11:18:37,2024-05-14T11:18:37,2024-05-14T11:20:53,2024-05-14T11:20:53,2024-05-14T11:21:12,gp3,500,3000,550
8,SRR17222363,endometrium,91.2151,2250330025,18646719732,111,24268923,8,c7a.2xlarge,paired,i-03ecca27369c9bb8c,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR17222363_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:10,2024-05-14T11:19:10,2024-05-14T11:20:54,2024-05-14T11:20:54,2024-05-14T11:24:26,2024-05-14T11:24:26,2024-05-14T11:24:45,gp3,500,3000,550
9,SRR6286060,endometrium,80.7485,12593097152,67094509420,111,95101538,8,c7a.2xlarge,paired,i-0f08c2ab925a1f818,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR6286060_salmon_normalized_counts.tsv,2024-05-14T11:21:06,2024-05-14T11:25:20,2024-05-14T11:25:20,2024-05-14T11:31:37,2024-05-14T11:31:37,2024-05-14T11:41:30,2024-05-14T11:41:30,2024-05-14T11:41:41,gp3,500,3000,550
