,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_VolumeType,EBS_Iops,EBS_Throughput
0,SRR13870534,adipose_tissue,90.3858,314758873,2045699632,111,3755101,8,c7i.2xlarge,paired,i-0491764d537f7126f,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR13870534_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:30,2024-05-14T11:18:30,2024-05-14T11:18:34,2024-05-14T11:18:34,2024-05-14T11:20:42,2024-05-14T11:20:42,2024-05-14T11:21:04,550,gp3,3000,500
1,SRR6742594,adipose_tissue,85.9177,3416278879,20709104648,111,46310790,8,c7i.2xlarge,paired,i-06971bd715f981f87,EC2,s3://neardata-other/Salmon/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:31,2024-05-14T11:19:31,2024-05-14T11:21:30,2024-05-14T11:21:30,2024-05-14T11:25:55,2024-05-14T11:25:55,2024-05-14T11:26:14,550,gp3,3000,500
2,SRR20740669,breast_cells,92.1004,976305944,6605376766,111,23251123,8,c7i.2xlarge,single,i-060e2bc49bfb29008,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR20740669_salmon_normalized_counts.tsv,2024-05-14T11:18:24,2024-05-14T11:18:46,2024-05-14T11:18:46,2024-05-14T11:19:12,2024-05-14T11:19:12,2024-05-14T11:22:16,2024-05-14T11:22:16,2024-05-14T11:22:36,550,gp3,3000,500
3,SRR16775393,breast_cells,91.6474,2462241928,26699242512,111,38322275,8,c7i.2xlarge,paired,i-0a2bcb3bce0706920,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR16775393_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:19:16,2024-05-14T11:19:16,2024-05-14T11:21:52,2024-05-14T11:21:52,2024-05-14T11:27:05,2024-05-14T11:27:05,2024-05-14T11:27:26,550,gp3,3000,500
4,SRR3290912,breast_cells,90.6813,1850689124,12395401176,111,34297500,8,c7i.2xlarge,paired,i-03d99b7e82398fdb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR3290912_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:18:59,2024-05-14T11:18:59,2024-05-14T11:19:48,2024-05-14T11:19:48,2024-05-14T11:23:50,2024-05-14T11:23:50,2024-05-14T11:24:13,550,gp3,3000,500
5,SRR5735068,breast_cells,88.1199,1586324337,16260955208,111,44428924,8,c7i.2xlarge,paired,i-039cec56e50f355cf,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR5735068_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:55,2024-05-14T11:18:55,2024-05-14T11:20:31,2024-05-14T11:20:31,2024-05-14T11:25:29,2024-05-14T11:25:29,2024-05-14T11:25:48,550,gp3,3000,500
6,SRR12540641,breast_cells,80.7163,3976002212,25726980588,111,36713549,8,c7i.2xlarge,paired,i-0f65d0e6163cde28e,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR12540641_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:19:39,2024-05-14T11:19:39,2024-05-14T11:22:10,2024-05-14T11:22:10,2024-05-14T11:27:35,2024-05-14T11:27:35,2024-05-14T11:27:55,550,gp3,3000,500
7,SRR2973332,breast_cells,54.2904,528883438,2263926608,111,4058599,8,c7i.2xlarge,paired,i-000c63d06e44673fb,EC2,s3://neardata-other/Salmon/high_mapping_rate/breast_cells/normalized_counts/SRR2973332_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:18:34,2024-05-14T11:18:34,2024-05-14T11:18:39,2024-05-14T11:18:39,2024-05-14T11:21:07,2024-05-14T11:21:07,2024-05-14T11:21:27,550,gp3,3000,500
8,SRR17222363,endometrium,91.2151,2250330025,18646719732,111,24268923,8,c7i.2xlarge,paired,i-09a4ad6b40f33af47,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR17222363_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:19:10,2024-05-14T11:19:10,2024-05-14T11:20:56,2024-05-14T11:20:56,2024-05-14T11:25:18,2024-05-14T11:25:18,2024-05-14T11:25:38,550,gp3,3000,500
9,SRR6286060,endometrium,80.7485,12593097152,67094509420,111,95101538,8,c7i.2xlarge,paired,i-03a99f8952f2b389b,EC2,s3://neardata-other/Salmon/high_mapping_rate/endometrium/normalized_counts/SRR6286060_salmon_normalized_counts.tsv,2024-05-14T11:18:26,2024-05-14T11:22:57,2024-05-14T11:22:57,2024-05-14T11:29:18,2024-05-14T11:29:18,2024-05-14T11:44:29,2024-05-14T11:44:29,2024-05-14T11:44:54,550,gp3,3000,500
