n_threads,execution_time_seconds,srr_id,srr_size_MiB,ebs_throughput,ebs_iops,instance_type
16,21.126597494,SRR6192356,202,500,3000,c7a.4xlarge
14,19.162633407,SRR6192356,202,500,3000,c7a.4xlarge
12,20.624030368,SRR6192356,202,500,3000,c7a.4xlarge
10,22.744635509,SRR6192356,202,500,3000,c7a.4xlarge
8,24.664149679,SRR6192356,202,500,3000,c7a.4xlarge
6,26.343106426,SRR6192356,202,500,3000,c7a.4xlarge
4,34.943827411,SRR6192356,202,500,3000,c7a.4xlarge
2,62.190733834,SRR6192356,202,500,3000,c7a.4xlarge
1,102.258370619,SRR6192356,202,500,3000,c7a.4xlarge
16,89.567785151,SRR20688788,2073,500,3000,c7a.4xlarge
14,90.570533402,SRR20688788,2073,500,3000,c7a.4xlarge
12,101.711917154,SRR20688788,2073,500,3000,c7a.4xlarge
10,131.790403576,SRR20688788,2073,500,3000,c7a.4xlarge
8,157.447062138,SRR20688788,2073,500,3000,c7a.4xlarge
6,201.352544973,SRR20688788,2073,500,3000,c7a.4xlarge
4,290.470131805,SRR20688788,2073,500,3000,c7a.4xlarge
2,551.170899974,SRR20688788,2073,500,3000,c7a.4xlarge
1,962.672560586,SRR20688788,2073,500,3000,c7a.4xlarge
16,17.352358856,SRR6192356,202,500,3000,c7a.4xlarge
14,19.128591128,SRR6192356,202,500,3000,c7a.4xlarge
12,20.668893742,SRR6192356,202,500,3000,c7a.4xlarge
10,23.792275801,SRR6192356,202,500,3000,c7a.4xlarge
8,24.669623601,SRR6192356,202,500,3000,c7a.4xlarge
6,29.751437976,SRR6192356,202,500,3000,c7a.4xlarge
4,34.351350151,SRR6192356,202,500,3000,c7a.4xlarge
2,58.453210422,SRR6192356,202,500,3000,c7a.4xlarge
1,101.465187209,SRR6192356,202,500,3000,c7a.4xlarge
16,93.788939743,SRR20688788,2073,500,3000,c7a.4xlarge
14,100.577421699,SRR20688788,2073,500,3000,c7a.4xlarge
12,102.131870180,SRR20688788,2073,500,3000,c7a.4xlarge
10,131.932444668,SRR20688788,2073,500,3000,c7a.4xlarge
8,158.466314110,SRR20688788,2073,500,3000,c7a.4xlarge
6,200.912953281,SRR20688788,2073,500,3000,c7a.4xlarge
4,289.868532898,SRR20688788,2073,500,3000,c7a.4xlarge
2,550.397072785,SRR20688788,2073,500,3000,c7a.4xlarge
1,961.969510994,SRR20688788,2073,500,3000,c7a.4xlarge
16,16.867852708,SRR6192356,202,500,3000,c7a.4xlarge
14,19.047635588,SRR6192356,202,500,3000,c7a.4xlarge
12,18.989085398,SRR6192356,202,500,3000,c7a.4xlarge
10,22.089997490,SRR6192356,202,500,3000,c7a.4xlarge
8,24.690243148,SRR6192356,202,500,3000,c7a.4xlarge
6,26.353654473,SRR6192356,202,500,3000,c7a.4xlarge
4,37.210878700,SRR6192356,202,500,3000,c7a.4xlarge
2,62.396890342,SRR6192356,202,500,3000,c7a.4xlarge
1,95.562365613,SRR6192356,202,500,3000,c7a.4xlarge
16,86.041235895,SRR20688788,2073,500,3000,c7a.4xlarge
14,90.731501581,SRR20688788,2073,500,3000,c7a.4xlarge
12,113.899655157,SRR20688788,2073,500,3000,c7a.4xlarge
10,130.913860692,SRR20688788,2073,500,3000,c7a.4xlarge
8,157.428348129,SRR20688788,2073,500,3000,c7a.4xlarge
6,184.127608282,SRR20688788,2073,500,3000,c7a.4xlarge
4,288.711805117,SRR20688788,2073,500,3000,c7a.4xlarge
2,517.310859682,SRR20688788,2073,500,3000,c7a.4xlarge
1,965.207593919,SRR20688788,2073,500,3000,c7a.4xlarge
16,1606.893344545,SRR11869226,10530,500,3000,c7a.4xlarge
14,1828.766750798,SRR11869226,10530,500,3000,c7a.4xlarge
12,2124.847548851,SRR11869226,10530,500,3000,c7a.4xlarge
10,2536.283823836,SRR11869226,10530,500,3000,c7a.4xlarge
8,3134.165692718,SRR11869226,10530,500,3000,c7a.4xlarge
6,4203.192439523,SRR11869226,10530,500,3000,c7a.4xlarge
4,6276.201954389,SRR11869226,10530,500,3000,c7a.4xlarge
2,12644.989992656,SRR11869226,10530,500,3000,c7a.4xlarge
1,24755.549870244,SRR11869226,10530,500,3000,c7a.4xlarge
